"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_CONRAD";"OC_CONRAD_ADD";"OC_DIGIKEY";"OC_FARNELL";"OC_MOUSER";"OC_MOUSER_ADD";"OC_MOUSER_ADD2";"OC_MOUSER_ALT";"OC_NEWARK";"OC_RS";"OC_RS_ADD";
"1";"16MHz";"Q5X3.2MM-TXC-7A-SERIES";"Q-5X3.2MM-TXC-7A.SERIES";"Q1";"";"";"";"";"";"";"";"717-7A-16.000MAAJ-T";"";"";"";"";"";"";
"2";"1M 5% 1/10W";"R-SMD0805";"C0805K";"R19, R24";"R";"";"";"";"";"";"";"652-CR0805JW-105ELF";"";"";"";"";"";"";
"1";"1R 0.5% 4ppm 1W";"R-SHUNTVSR";"R-SHUNT-VSR";"R4";"";"";"";"";"";"";"";"71-VSRT1R0000DB";"";"";"";"";"";"";
"1";"1k 0.5% 50 ppm 1/10W";"R-SMD0805";"C0805K";"R1";"R";"";"";"";"";"";"";"754-RR1220P-102D";"";"";"";"";"";"";
"1";"1n/50V";"CC/0805";"0805";"C18";"Kondensator";"";"";"";"";"";"";"603-CC805KRX7R0BB102";"";"";"";"";"";"";
"1";"1µ/35V";"CC/0805";"0805";"C32";"Kondensator";"";"";"";"";"";"";"963-UMK212B7105KG-T";"";"";"";"";"";"";
"1";"2200µ/25V";"C+5/12.5";"C+/5/12.5";"C3";"";"";"";"";"";"";"";"667-EEU-FS1E222";"";"";"";"";"";"";
"1";"220R 1% 1/10W";"R-SMD0805";"C0805K";"R11";"R";"";"";"";"";"";"";"652-CR0805FX-2201ELF";"";"";"";"";"";"";
"4";"22R 5% 1/10W";"R-SMD0805";"C0805K";"R16, R17, R22, R23";"R";"";"";"";"";"";"";"652-CR0805JW-220ELF";"";"";"";"";"";"";
"2";"22pF/50V C0G";"CC/0805";"0805";"C14, C15";"Kondensator";"";"";"";"";"";"";"603-CC805JRNPO9BN220";"";"";"";"";"";"";
"2";"24LC512P";"24LC256P";"DIL8";"IC8, IC9";"Serial EEPROM";"MICROCHIP";"24LC256-E/P";"";"";"";"9757970";"579-24LC512-E/P";"";"";"";"92C7169";"";"";
"2";"2k2 1% 1/10W";"R-SMD0805";"C0805K";"R37, R41";"R";"";"";"";"";"";"";"652-CR0805FX-2201ELF";"";"";"";"";"";"";
"1";"3.9k 0.1% 25ppm 1/10W";"R-SMD0805";"C0805K";"R32";"R";"";"";"";"";"";"";"754-RG2012P-392-BT5";"";"";"";"";"";"";
"1";"330n/16V";"CC/0805";"0805";"C5";"Kondensator";"";"";"";"";"";"";"80-C0805C334K5RECTU";"";"";"";"";"";"";
"1";"330n/50V";"CC/0805";"0805";"C6";"Kondensator";"";"";"";"";"";"";"80-C0805C334K5RECTU";"";"";"";"";"";"";
